datetime,demand,temperature,humidity,windspeed,visibility,condition
08-01-2016 00:00,0,71.1,91.5,4,7.5,2
08-01-2016 01:00,0,71.1,90,8,6.9,1
08-01-2016 02:00,0,70,93,7,4.6,1
08-01-2016 03:00,0,70,90,9,8.1,2
08-01-2016 04:00,0,70,90,9.666666667,8.466666667,3
08-01-2016 05:00,0,70,89,9.666666667,9.8,3
08-01-2016 06:00,4,70,87,8,7.5,2
08-01-2016 07:00,5,70,87,7,8.1,1
08-01-2016 08:00,27,70,84,8.5,8.65,2
08-01-2016 09:00,6,71.4,80,9,7.3,3
08-01-2016 10:00,4,72.5,78.5,8,5.2,2
08-01-2016 11:00,0,73,76,8,8.1,1
08-01-2016 12:00,5,73,79,8,4.6,1
08-01-2016 13:00,9,77,69,7,3.5,1
08-01-2016 14:00,2,78.1,68,8,6.9,1
08-01-2016 15:00,7,78.1,66,9,3.5,2
08-01-2016 16:00,9,78.1,71,8,4.6,1
08-01-2016 17:00,17,77,73.5,8,3.5,2
08-01-2016 18:00,14,74.45,76,8,7.5,2
08-01-2016 19:00,6,73.73333333,75.66666667,8,4.05,3
08-01-2016 20:00,6,73.9,71,10,3.5,1
08-01-2016 21:00,3,73.9,68,10,7.5,1
08-01-2016 22:00,4,73,73,10,7.5,1
08-01-2016 23:00,2,72,71,,3.5,1
08-02-2016 00:00,0,71.1,73,10,5.8,1
08-02-2016 01:00,1,71.1,78,10,4.6,1
08-02-2016 02:00,0,71.1,75,10,6.9,2
08-02-2016 03:00,0,71.1,75,10,3.5,2
08-02-2016 04:00,0,71.1,75,10,5.8,1
08-02-2016 05:00,0,71.1,70,10,6.9,1
08-02-2016 06:00,4,71.1,75,9,4.6,1
08-02-2016 07:00,10,72,71,9,5.8,1
08-02-2016 08:00,14,71.4,74.33333333,9,6.933333333,3
08-02-2016 09:00,9,72,73,9,12.7,1
08-02-2016 10:00,2,72,69,9,10.36666667,3
08-02-2016 11:00,2,75.9,60,9,11.5,1
08-02-2016 12:00,1,77,58,9,6.9,1
08-02-2016 13:00,6,75.9,62,9,8.1,1
08-02-2016 14:00,4,77,56,9,10.4,1
08-02-2016 15:00,2,75,60,9,12.7,1
08-02-2016 16:00,8,73.9,62,9,6.9,1
08-02-2016 17:00,10,73.9,64,9,5.8,1
08-02-2016 18:00,21,73,64,9,9.2,1
08-02-2016 19:00,8,72,68,9,5.8,1
08-02-2016 20:00,6,70,71,10,8.1,1
08-02-2016 21:00,3,70,63,10,4.6,1
08-02-2016 22:00,10,69.1,63,10,3.5,1
08-02-2016 23:00,0,69.1,63,10,5.8,1
08-03-2016 00:00,2,68,68,10,3.5,1
08-03-2016 01:00,0,66.9,73,10,3.5,1
